name_id,h3_index,HubNameHE
124,8a2db052e98ffff,"רוטשילד/ז'בוטינסקי, ראשון לציון"
124,8a2db052e8affff,"רוטשילד/ז'בוטינסקי, ראשון לציון"
124,8a2db052e9affff,"רוטשילד/ז'בוטינסקי, ראשון לציון"
125,8a2db0a08457fff,מרכזית המפרץ
125,8a2db0a0ab6ffff,מרכזית המפרץ
125,8a2db0a087b7fff,מרכזית המפרץ
125,8a2db0a084effff,מרכזית המפרץ
125,8a2db0a0879ffff,מרכזית המפרץ
126,8a2db0cc31affff,"השוק הסיטונאי, תל אביב"
126,8a2db0cc3187fff,"השוק הסיטונאי, תל אביב"
126,8a2db0cc3027fff,"השוק הסיטונאי, תל אביב"
127,8a2db66e8177fff,תחנת רכבת באר שבע צפון-האוניברסיטה
127,8a2db66e8157fff,תחנת רכבת באר שבע צפון-האוניברסיטה
128,8a2db04d2d5ffff,תחנת רכבת ירושלים-מרכז
128,8a2db04d2c67fff,תחנת רכבת ירושלים-מרכז
129,8a2db0cd0ab7fff,תחנת רכבת בת ים-יוספטל
129,8a2db0cd0b9ffff,תחנת רכבת בת ים-יוספטל
129,8a2db0cd0a97fff,תחנת רכבת בת ים-יוספטל
130,8a2db04d60f7fff,תחנת רכבת ירושלים-יצחק נבון
130,8a2db04d60effff,תחנת רכבת ירושלים-יצחק נבון
130,8a2db04d6087fff,תחנת רכבת ירושלים-יצחק נבון
130,8a2db04d60e7fff,תחנת רכבת ירושלים-יצחק נבון
131,8a2db0ccd16ffff,גלילות דרום
131,8a2db0ccda17fff,גלילות דרום
132,8a2db0564447fff,"כיכר יפה נוף, פתח תקווה"
132,8a2db0564477fff,"כיכר יפה נוף, פתח תקווה"
133,8a2db0ccec77fff,תחנת רכבת סבידור מרכז
133,8a2db0ccec5ffff,תחנת רכבת סבידור מרכז
133,8a2db0cceceffff,תחנת רכבת סבידור מרכז
133,8a2db0ccec0ffff,תחנת רכבת סבידור מרכז
134,8a2db0cc3207fff,תחנת רכבת השלום
134,8a2db0cc3217fff,תחנת רכבת השלום
134,8a2db0cc331ffff,תחנת רכבת השלום
